Releasedate,Article,Product Family,Product,Download
"Aug 13, 2019",4054566,Windows,Windows Server 2012 R2,Security Update
"Apr 12, 2016",3145739,Windows,Windows Server 2012 R2,Security Update
"Apr 12, 2016",3146723,Windows,Windows Server 2012 R2,Security Update
"Apr 12, 2016",3135456,Windows,Windows Server 2012 R2,Security Update
"Apr 12, 2016",3146706,Windows,Windows Server 2012 R2,Security Update
"Apr 12, 2016",3149090,Windows,Windows Server 2012 R2,Security Update
"May 10, 2016",3156017,Windows,Windows Server 2012 R2,Security Update
"May 10, 2016",3156019,Windows,Windows Server 2012 R2,Security Update
"May 10, 2016",3153704,Windows,Windows Server 2012 R2,Security Update
"May 10, 2016",3156059,Windows,Windows Server 2012 R2,Security Update
"May 10, 2016",3153171,Windows,Windows Server 2012 R2,Security Update
"May 10, 2016",3155784,Windows,Windows Server 2012 R2,Security Update
"May 10, 2016",3153199,Windows,Windows Server 2012 R2,Security Update
"May 10, 2016",3156013,Windows,Windows Server 2012 R2,Security Update
"May 10, 2016",3156016,Windows,Windows Server 2012 R2,Security Update
"Jul 12, 2016",3168965,Windows,Windows Server 2012 R2,Security Update
"Jul 12, 2016",3172727,Windows,Windows Server 2012 R2,Security Update
"Jul 12, 2016",4038792,Windows,Windows Server 2012 R2,Monthly Rollup
"Jul 12, 2016",4038793,Windows,Windows Server 2012 R2,Security Only
"Jul 12, 2016",3170455,Windows,Windows Server 2012 R2,Security Update
"Jul 12, 2016",3170377,Windows,Windows Server 2012 R2,Security Update
"Jul 18, 2016",3169704,Windows,Windows Server 2012 R2,Security Update
"Aug 9, 2016",3175887,Windows,Windows Server 2012 R2,Security Update
"Aug 9, 2016",3177725,Windows,Windows Server 2012 R2,Security Update
"Aug 9, 2016",3177108,Windows,Windows Server 2012 R2,Security Update
"Aug 9, 2016",3185331,Windows,Windows Server 2012 R2,Monthly Rollup
"Aug 9, 2016",3192392,Windows,Windows Server 2012 R2,Security Only
